#Site      X(m)             Y(m)             Z(m)           SEFDR      SEFDL     FR_PAR   FR_EL   FR_OFF  DR_RE    DR_IM    DL_RE    DL_IM   
AA         2225060.81360   -5440059.59994   -2481681.15054      0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00 
AP         2225039.52970   -5441197.62920   -2479303.35970      0.00       0.00   1.00    1.00    0.00    0.00   0.00   0.00   0.00 
AZ        -1828796.20000   -5054406.80000    3427865.20000      0.00       0.00   1.00    1.00    0.00    0.00   0.00   0.00   0.00 
JC        -5464584.67600   -2493001.17000    2150653.98200      0.00       0.00   1.00    0.00    0.00    0.00   0.00   0.00   0.00 
LM         -768715.63200   -5988507.07200    2063354.85200      0.00       0.00   1.00   -1.00    0.00    0.00   0.00   0.00   0.00 
PV         5088967.74544    -301681.18586    3825012.20561      0.00       0.00   1.00   -1.00    0.00    0.00   0.00   0.00   0.00 
SM        -5464555.49300   -2492927.98900    2150797.17600      0.00       0.00   1.00   -1.00   45.00    0.00   0.00   0.00   0.00 
SR        -5464555.49300   -2492927.98900    2150797.17600      0.00       0.00   0.00    0.00    0.00    0.00   0.00   0.00   0.00 
SP        		 0.01        	  0.01      -6359609.7     	    0.00       0.00   0.00    0.00    0.00    0.00   0.00   0.00   0.00 
